bin	swScore	milliDiv	milliDel	milliIns	genoName	genoStart	genoEnd	genoLeft	strand	repName	repClass	repFamily	repStart	repEnd	repLeft	id
1	1	1	1	1	chr1	10468	11447	-1	+	L1	LINE	L1	-1	1	1	1
1	1	1	1	1	chr1	564463	570304	-1	+	L1	LINE	L1	-1	1	1	1
1	1	1	1	1	chr1	724137	727026	-1	+	L1	LINE	L1	-1	1	1	1
1	1	1	1	1	chr1	825006	825115	-1	+	L1	LINE	L1	-1	1	1	1
1	1	1	1	1	chr1	1815107	1815204	-1	+	L1	LINE	L1	-1	1	1	1
1	1	1	1	1	chr1	3639224	3639747	-1	+	L1	LINE	L1	-1	1	1	1
1	1	1	1	1	chr1	4363064	4363242	-1	+	L1	LINE	L1	-1	1	1	1
1	1	1	1	1	chr1	4417098	4417211	-1	+	L1	LINE	L1	-1	1	1	1
1	1	1	1	1	chr1	16393109	16393136	-1	+	L1	LINE	L1	-1	1	1	1
1	1	1	1	1	chr1	17562054	17562204	-1	+	L1	LINE	L1	-1	1	1	1
1	1	1	1	1	chr1	17568001	17568197	-1	+	L1	LINE	L1	-1	1	1	1
1	1	1	1	1	chr1	22699407	22699475	-1	+	L1	LINE	L1	-1	1	1	1
1	1	1	1	1	chr1	25483508	25483621	-1	+	L1	LINE	L1	-1	1	1	1
1	1	1	1	1	chr1	28242609	28242680	-1	+	L1	LINE	L1	-1	1	1	1
1	1	1	1	1	chr1	30802098	30802177	-1	+	L1	LINE	L1	-1	1	1	1
1	1	1	1	1	chr1	31254019	31254168	-1	+	L1	LINE	L1	-1	1	1	1
1	1	1	1	1	chr1	32833269	32833349	-1	+	L1	LINE	L1	-1	1	1	1
1	1	1	1	1	chr1	37315505	37315568	-1	+	L1	LINE	L1	-1	1	1	1
1	1	1	1	1	chr1	39354488	39354536	-1	+	L1	LINE	L1	-1	1	1	1
1	1	1	1	1	chr1	42779298	42779471	-1	+	L1	LINE	L1	-1	1	1	1
1	1	1	1	1	chr1	43045772	43046173	-1	+	L1	LINE	L1	-1	1	1	1
1	1	1	1	1	chr1	43215463	43215643	-1	+	L1	LINE	L1	-1	1	1	1
1	1	1	1	1	chr1	46902468	46902566	-1	+	L1	LINE	L1	-1	1	1	1
1	1	1	1	1	chr1	58281056	58281119	-1	+	L1	LINE	L1	-1	1	1	1
1	1	1	1	1	chr1	65613165	65613189	-1	+	L1	LINE	L1	-1	1	1	1
1	1	1	1	1	chr1	68458490	68458634	-1	+	L1	LINE	L1	-1	1	1	1
1	1	1	1	1	chr1	68461907	68462474	-1	+	L1	LINE	L1	-1	1	1	1
1	1	1	1	1	chr1	76240336	76240470	-1	+	L1	LINE	L1	-1	1	1	1
1	1	1	1	1	chr1	82699241	82699456	-1	+	L1	LINE	L1	-1	1	1	1
1	1	1	1	1	chr1	91852785	91853147	-1	+	L1	LINE	L1	-1	1	1	1
1	1	1	1	1	chr1	92972727	92972802	-1	+	L1	LINE	L1	-1	1	1	1
1	1	1	1	1	chr1	100271938	100272091	-1	+	L1	LINE	L1	-1	1	1	1
1	1	1	1	1	chr1	103237413	103237658	-1	+	L1	LINE	L1	-1	1	1	1
1	1	1	1	1	chr1	104403173	104417026	-1	+	L1	LINE	L1	-1	1	1	1
1	1	1	1	1	chr1	108113071	108113729	-1	+	L1	LINE	L1	-1	1	1	1
1	1	1	1	1	chr1	109786180	109786293	-1	+	L1	LINE	L1	-1	1	1	1
1	1	1	1	1	chr1	110622671	110622863	-1	+	L1	LINE	L1	-1	1	1	1
1	1	1	1	1	chr1	110797516	110797548	-1	+	L1	LINE	L1	-1	1	1	1
1	1	1	1	1	chr1	120543883	120544125	-1	+	L1	LINE	L1	-1	1	1	1
1	1	1	1	1	chr1	121351587	121476216	-1	+	L1	LINE	L1	-1	1	1	1
1	1	1	1	1	chr1	121478368	121485429	-1	+	L1	LINE	L1	-1	1	1	1
1	1	1	1	1	chr1	142535604	142543007	-1	+	L1	LINE	L1	-1	1	1	1
1	1	1	1	1	chr1	142792627	142793117	-1	+	L1	LINE	L1	-1	1	1	1
1	1	1	1	1	chr1	142967021	142967720	-1	+	L1	LINE	L1	-1	1	1	1
1	1	1	1	1	chr1	143243223	143243691	-1	+	L1	LINE	L1	-1	1	1	1
1	1	1	1	1	chr1	143274493	143275129	-1	+	L1	LINE	L1	-1	1	1	1
1	1	1	1	1	chr1	143279251	143281250	-1	+	L1	LINE	L1	-1	1	1	1
1	1	1	1	1	chr1	143283882	143284138	-1	+	L1	LINE	L1	-1	1	1	1
1	1	1	1	1	chr1	143344705	143345190	-1	+	L1	LINE	L1	-1	1	1	1
1	1	1	1	1	chr1	145277249	145277491	-1	+	L1	LINE	L1	-1	1	1	1
1	1	1	1	1	chr1	145994696	145994716	-1	+	L1	LINE	L1	-1	1	1	1
1	1	1	1	1	chr1	147281583	147281640	-1	+	L1	LINE	L1	-1	1	1	1
1	1	1	1	1	chr1	148927799	148928362	-1	+	L1	LINE	L1	-1	1	1	1
1	1	1	1	1	chr1	149033186	149035828	-1	+	L1	LINE	L1	-1	1	1	1
1	1	1	1	1	chr1	150239193	150239284	-1	+	L1	LINE	L1	-1	1	1	1
1	1	1	1	1	chr1	157139812	157139887	-1	+	L1	LINE	L1	-1	1	1	1
1	1	1	1	1	chr1	166640296	166640359	-1	+	L1	LINE	L1	-1	1	1	1
1	1	1	1	1	chr1	168795896	168796039	-1	+	L1	LINE	L1	-1	1	1	1
1	1	1	1	1	chr1	169878691	169878920	-1	+	L1	LINE	L1	-1	1	1	1
1	1	1	1	1	chr1	173690784	173690945	-1	+	L1	LINE	L1	-1	1	1	1
1	1	1	1	1	chr1	182181587	182181637	-1	+	L1	LINE	L1	-1	1	1	1
1	1	1	1	1	chr1	200428778	200428912	-1	+	L1	LINE	L1	-1	1	1	1
1	1	1	1	1	chr1	201225039	201227577	-1	+	L1	LINE	L1	-1	1	1	1
1	1	1	1	1	chr1	209402060	209402133	-1	+	L1	LINE	L1	-1	1	1	1
1	1	1	1	1	chr1	210639259	210639432	-1	+	L1	LINE	L1	-1	1	1	1
1	1	1	1	1	chr1	211799052	211799116	-1	+	L1	LINE	L1	-1	1	1	1
1	1	1	1	1	chr1	211799883	211800066	-1	+	L1	LINE	L1	-1	1	1	1
1	1	1	1	1	chr1	220269322	220269358	-1	+	L1	LINE	L1	-1	1	1	1
1	1	1	1	1	chr1	222522768	222522879	-1	+	L1	LINE	L1	-1	1	1	1
1	1	1	1	1	chr1	223192518	223192539	-1	+	L1	LINE	L1	-1	1	1	1
1	1	1	1	1	chr1	223381275	223381356	-1	+	L1	LINE	L1	-1	1	1	1
1	1	1	1	1	chr1	224199392	224204253	-1	+	L1	LINE	L1	-1	1	1	1
1	1	1	1	1	chr1	227874275	227874356	-1	+	L1	LINE	L1	-1	1	1	1
1	1	1	1	1	chr1	231510065	231510258	-1	+	L1	LINE	L1	-1	1	1	1
1	1	1	1	1	chr1	233318475	233318498	-1	+	L1	LINE	L1	-1	1	1	1
1	1	1	1	1	chr1	237766308	237766764	-1	+	L1	LINE	L1	-1	1	1	1
1	1	1	1	1	chr1	238104075	238109627	-1	+	L1	LINE	L1	-1	1	1	1
1	1	1	1	1	chr1	238110375	238110609	-1	+	L1	LINE	L1	-1	1	1	1
1	1	1	1	1	chr1	242108860	242108991	-1	+	L1	LINE	L1	-1	1	1	1
1	1	1	1	1	chr1	247438962	247439741	-1	+	L1	LINE	L1	-1	1	1	1
1	1	1	1	1	chr1	247440436	247440537	-1	+	L1	LINE	L1	-1	1	1	1
1	1	1	1	1	chr1	249238110	249239838	-1	+	L1	LINE	L1	-1	1	1	1
1	1	1	1	1	chr10	753792	753896	-1	+	L1	LINE	L1	-1	1	1	1
1	1	1	1	1	chr10	5341746	5341873	-1	+	L1	LINE	L1	-1	1	1	1
1	1	1	1	1	chr10	7764909	7765219	-1	+	L1	LINE	L1	-1	1	1	1
1	1	1	1	1	chr10	9206289	9206370	-1	+	L1	LINE	L1	-1	1	1	1
1	1	1	1	1	chr10	17695218	17695378	-1	+	L1	LINE	L1	-1	1	1	1
1	1	1	1	1	chr10	18841533	18862467	-1	+	L1	LINE	L1	-1	1	1	1
1	1	1	1	1	chr10	32122000	32122053	-1	+	L1	LINE	L1	-1	1	1	1
1	1	1	1	1	chr10	32699246	32699626	-1	+	L1	LINE	L1	-1	1	1	1
1	1	1	1	1	chr10	35370876	35370941	-1	+	L1	LINE	L1	-1	1	1	1
1	1	1	1	1	chr10	36717251	36717338	-1	+	L1	LINE	L1	-1	1	1	1
1	1	1	1	1	chr10	37898052	37898142	-1	+	L1	LINE	L1	-1	1	1	1
